id,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,source,price,new,dublicate_ptc,no_ptc,original_ptc
13260,внедорожник,чёрный,4.4,407.0,бензин,200000.0,5.0,2009.0,1.0,3.0,1,1.0,avito,970000.0,0,0,0,1
13261,седан,синий,2.0,190.0,дизель,56000.0,4.0,2017.0,1.0,3.0,1,1.0,avito,2150000.0,0,0,0,1
13262,седан,чёрный,2.0,150.0,бензин,227000.0,4.0,1998.0,0.0,4.0,0,1.0,avito,197000.0,0,0,0,1
13263,хетчбек,чёрный,1.6,136.0,бензин,138258.0,5.0,2013.0,1.0,2.0,0,1.0,avito,618000.0,0,0,0,1
13264,хетчбек,чёрный,2.0,136.0,бензин,156800.0,5.0,2011.0,1.0,3.0,0,1.0,avito,450000.0,0,0,0,1
13265,внедорожник,синий,2.0,150.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,2750000.0,1,0,1,0
13266,купе,чёрный,2.0,184.0,дизель,120000.0,2.0,2013.0,1.0,3.0,0,1.0,avito,1190000.0,0,0,0,1
13267,седан,белый,2.0,245.0,бензин,45000.0,4.0,2012.0,1.0,1.0,0,0.0,avito,245000.0,0,0,0,1
13268,внедорожник,чёрный,3.0,306.0,дизель,124000.0,5.0,2012.0,1.0,3.0,1,1.0,avito,1549000.0,0,0,0,1
13269,седан,серый,3.0,320.0,дизель,78000.0,4.0,2016.0,1.0,2.0,1,1.0,avito,3290000.0,0,0,0,1
13270,седан,чёрный,4.4,450.0,бензин,114000.0,4.0,2012.0,1.0,1.0,1,1.0,avito,1150000.0,0,0,0,1
13271,внедорожник,синий,4.4,286.0,бензин,185000.0,5.0,2000.0,1.0,2.0,1,1.0,avito,210000.0,0,0,0,1
13272,седан,синий,3.0,249.0,дизель,5865.0,4.0,2018.0,1.0,1.0,1,1.0,avito,4439000.0,0,0,0,1
13273,внедорожник,серый,2.0,184.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,avito,3079222.0,1,0,1,0
13274,внедорожник,синий,3.0,245.0,дизель,149900.0,5.0,2010.0,1.0,4.0,0,1.0,avito,1110000.0,0,0,0,1
13275,открытый,серый,3.0,320.0,бензин,100000.0,2.0,2011.0,1.0,3.0,0,1.0,avito,1599000.0,0,0,0,1
13276,внедорожник,чёрный,3.0,306.0,бензин,106653.0,5.0,2014.0,1.0,2.0,1,1.0,avito,2300000.0,0,0,0,1
13277,внедорожник,чёрный,3.0,306.0,дизель,155000.0,5.0,2010.0,1.0,1.0,1,1.0,avito,1615000.0,0,0,0,1
13278,седан,белый,2.0,184.0,дизель,134500.0,4.0,2014.0,1.0,3.0,1,1.0,avito,1199000.0,0,0,0,1
13279,седан,чёрный,1.6,136.0,бензин,222222.0,4.0,2014.0,1.0,2.0,0,1.0,avito,800000.0,0,0,0,1
13280,внедорожник,чёрный,3.0,249.0,дизель,86000.0,5.0,2016.0,1.0,1.0,1,1.0,avito,2900000.0,0,0,0,1
13281,седан,чёрный,2.0,184.0,бензин,146164.0,4.0,2013.0,1.0,2.0,0,1.0,avito,890000.0,0,0,0,1
13282,седан,коричневый,2.0,184.0,бензин,70000.0,4.0,2013.0,1.0,3.0,0,1.0,avito,1630000.0,0,0,0,1
13283,седан,белый,3.0,249.0,дизель,0.0,4.0,2019.0,1.0,,1,1.0,avito,5527800.0,0,0,0,1
13284,внедорожник,серый,2.0,218.0,дизель,50000.0,5.0,2017.0,1.0,2.0,1,1.0,avito,3300000.0,0,0,0,1
13285,купе,чёрный,4.8,367.0,бензин,99900.0,2.0,2007.0,1.0,2.0,0,1.0,avito,990000.0,0,0,0,1
13286,седан,синий,1.9,118.0,бензин,250000.0,4.0,1998.0,0.0,3.0,0,1.0,avito,230000.0,0,0,0,1
13287,внедорожник,чёрный,3.0,249.0,дизель,36903.0,5.0,2017.0,1.0,1.0,1,1.0,avito,3397000.0,0,0,0,1
13288,внедорожник,серый,2.0,190.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,3123900.0,1,0,1,0
13289,внедорожник,белый,2.0,190.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,3123900.0,1,0,1,0
13290,внедорожник,белый,3.0,249.0,дизель,16860.0,5.0,2019.0,1.0,1.0,1,1.0,avito,4740000.0,0,0,0,1
13291,внедорожник,белый,3.0,306.0,бензин,170000.0,5.0,2011.0,1.0,2.0,1,1.0,avito,950000.0,0,0,0,1
13292,седан,чёрный,2.0,184.0,бензин,180000.0,4.0,2014.0,1.0,1.0,0,1.0,avito,1080000.0,0,0,0,1
