bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,price,new,dublicate_ptc,no_ptc,original_ptc
внедорожник,чёрный,3.0,231.0,бензин,296100.0,5.0,2005.0,1.0,3.0,1,1.0,619000.0,0,0,0,1
внедорожник,чёрный,3.0,306.0,бензин,139000.0,5.0,2011.0,1.0,1.0,1,1.0,950000.0,0,0,0,1
внедорожник,чёрный,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,6660000.0,1,0,0,1
внедорожник,чёрный,3.0,258.0,бензин,82877.0,5.0,2011.0,1.0,2.0,1,1.0,999000.0,0,0,0,1
внедорожник,голубой,2.0,184.0,дизель,47546.0,5.0,2013.0,1.0,1.0,1,1.0,1073000.0,0,0,0,1
внедорожник,белый,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,5780000.0,1,0,0,1
купе,синий,2.0,184.0,дизель,73972.0,2.0,2014.0,1.0,2.0,0,1.0,1420000.0,0,0,0,1
седан,чёрный,3.0,249.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,4408200.0,1,0,0,1
внедорожник,коричневый,2.0,150.0,бензин,109000.0,5.0,2013.0,1.0,1.0,0,1.0,730000.0,0,0,0,1
внедорожник,чёрный,3.0,218.0,дизель,74000.0,5.0,2018.0,1.0,1.0,1,1.0,2990000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,15000.0,5.0,2018.0,1.0,1.0,1,1.0,5900000.0,0,0,0,1
внедорожник,белый,3.0,249.0,дизель,16780.0,5.0,2018.0,1.0,1.0,1,1.0,3847000.0,0,0,0,1
седан,синий,2.0,184.0,бензин,117191.0,4.0,2013.0,1.0,1.0,0,1.0,1043000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,48000.0,4.0,2018.0,1.0,1.0,1,1.0,2768020.305348224,0,0,0,1
седан,коричневый,2.0,190.0,дизель,25795.0,4.0,2018.0,1.0,2.0,1,1.0,2677000.0,0,0,0,1
седан,чёрный,3.0,249.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,4974849.0,1,0,0,1
купе,синий,2.0,190.0,дизель,3074.0,2.0,2019.0,1.0,1.0,1,1.0,2599000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,33796.0,5.0,2016.0,1.0,1.0,1,1.0,3449000.0,0,0,0,1
внедорожник,чёрный,2.0,190.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,3429500.0,1,0,0,1
седан,чёрный,2.0,184.0,бензин,126000.0,4.0,2012.0,1.0,3.0,0,1.0,970000.0,0,0,0,1
внедорожник,белый,2.0,184.0,дизель,79000.0,5.0,2013.0,1.0,1.0,1,1.0,795000.0,0,0,0,1
седан,синий,2.0,184.0,бензин,134650.0,4.0,2014.0,1.0,3.0,0,1.0,1130000.0,0,0,0,1
седан,коричневый,1.5,140.0,бензин,0.0,4.0,2020.0,2.0,,2,1.0,2601100.0,1,0,0,1
внедорожник,чёрный,4.8,355.0,бензин,168700.0,5.0,2009.0,1.0,3.0,1,1.0,875000.0,0,0,0,1
седан,чёрный,2.0,249.0,бензин,7500.0,4.0,2019.0,1.0,2.0,0,1.0,5190000.0,0,0,0,1
внедорожник,белый,2.0,177.0,дизель,103671.0,5.0,2012.0,1.0,1.0,1,1.0,805000.0,0,0,0,1
